iter	Passed	Remaining
1025	6597	19123
1026	6604	19118
1027	6611	19115
1028	6616	19103
1029	6623	19099
1030	6630	19094
1031	6638	19090
1032	6642	19079
1033	6650	19075
1034	6657	19070
1035	6664	19065
1036	6672	19066
1037	6677	19055
1038	6684	19051
1039	6692	19047
1040	6696	19034
1041	6704	19033
1042	6711	19028
1043	6716	19017
1044	6720	19004
1045	6729	19004
1046	6736	19000
1047	6743	18995
1048	6751	18992
1049	6755	18980
1050	6763	18978
1051	6768	18966
1052	6775	18961
1053	6782	18957
1054	6786	18945
1055	6793	18940
1056	6800	18935
1057	6807	18930
1058	6812	18918
1059	6819	18915
1060	6826	18910
1061	6834	18906
1062	6838	18894
1063	6846	18891
1064	6850	18880
1065	6857	18875
1066	6865	18870
1067	6869	18859
1068	6878	18858
1069	6882	18847
1070	6889	18842
1071	6896	18837
1072	6901	18825
1073	6907	18820
1074	6912	18808
1075	6919	18803
1076	6927	18802
1077	6935	18798
1078	6939	18786
1079	6946	18781
1080	6954	18780
1081	6959	18769
1082	6966	18764
1083	6974	18760
1084	6978	18749
1085	6986	18746
1086	6993	18742
1087	7001	18738
1088	7008	18735
1089	7013	18723
1090	7020	18719
1091	7027	18715
1092	7032	18703
1093	7039	18699
1094	7047	18696
1095	7051	18684
1096	7059	18680
1097	7063	18669
1098	7071	18666
1099	7078	18661
1100	7085	18656
1101	7090	18645
1102	7097	18640
1103	7101	18629
1104	7110	18627
1105	7114	18616
1106	7122	18612
1107	7129	18608
1108	7133	18597
1109	7141	18592
1110	7145	18581
1111	7152	18577
1112	7159	18572
1113	7164	18560
1114	7172	18558
1115	7177	18547
1116	7184	18543
1117	7191	18537
1118	7195	18525
1119	7203	18524
1120	7208	18511
1121	7215	18507
1122	7222	18503
1123	7230	18500
1124	7234	18489
1125	7242	18485
1126	7249	18480
1127	7253	18467
1128	7261	18465
1129	7266	18455
1130	7273	18451
1131	7280	18446
1132	7285	18435
1133	7293	18433
1134	7298	18422
1135	7305	18417
1136	7310	18407
1137	7317	18403
1138	7326	18401
1139	7333	18397
1140	7340	18393
1141	7345	18382
1142	7352	18377
1143	7360	18374
1144	7364	18362
1145	7371	18356
1146	7378	18352
1147	7382	18341
1148	7389	18335
1149	7393	18324
1150	7400	18318
1151	7408	18316
1152	7416	18312
1153	7423	18308
1154	7428	18296
1155	7436	18296
1156	7441	18284
1157	7447	18279
1158	7454	18273
1159	7459	18262
1160	7466	18258
1161	7474	18254
1162	7480	18247
1163	7484	18236
1164	7492	18233
1165	7497	18222
1166	7504	18217
1167	7508	18206
1168	7516	18203
1169	7521	18192
1170	7528	18186
1171	7534	18181
1172	7539	18169
1173	7547	18169
1174	7555	18165
1175	7562	18160
1176	7566	18149
1177	7575	18146
1178	7579	18136
1179	7587	18132
1180	7593	18126
1181	7598	18115
1182	7606	18111
1183	7610	18101
1184	7617	18096
1185	7625	18093
1186	7633	18089
1187	7637	18077
1188	7644	18073
1189	7652	18069
1190	7656	18058
1191	7664	18054
1192	7671	18049
1193	7676	18039
1194	7684	18037
1195	7688	18026
1196	7695	18021
1197	7702	18016
1198	7707	18006
1199	7715	18002
1200	7719	17991
1201	7729	17993
1202	7737	17990
1203	7743	17981
1204	7750	17977
1205	7754	17965
1206	7762	17961
1207	7770	17959
1208	7777	17954
1209	7781	17943
1210	7788	17938
1211	7797	17936
1212	7802	17926
1213	7809	17922
1214	7816	17917
1215	7821	17907
1216	7829	17903
1217	7833	17891
1218	7840	17887
1219	7847	17882
1220	7855	17879
1221	7860	17869
1222	7867	17864
1223	7876	17862
1224	7881	17852
1225	7887	17847
1226	7895	17842
1227	7899	17831
1228	7907	17829
1229	7912	17819
1230	7919	17814
1231	7926	17809
1232	7934	17806
1233	7939	17796
1234	7947	17792
1235	7951	17781
1236	7959	17777
1237	7963	17767
1238	7970	17762
1239	7974	17750
1240	7982	17745
1241	7990	17742
1242	7994	17732
1243	8001	17726
1244	8007	17719
1245	8012	17709
1246	8020	17706
1247	8025	17696
1248	8032	17692
1249	8039	17687
1250	8045	17679
1251	8052	17674
1252	8060	17670
1253	8067	17665
1254	8075	17663
1255	8080	17652
1256	8086	17647
1257	8093	17641
1258	8097	17630
1259	8106	17629
1260	8110	17617
1261	8118	17613
1262	8125	17608
1263	8133	17604
1264	8140	17599
1265	8144	17588
1266	8151	17583
1267	8156	17573
1268	8163	17568
1269	8170	17563
1270	8175	17553
1271	8184	17552
1272	8189	17542
1273	8196	17538
1274	8203	17533
1275	8207	17521
1276	8215	17518
1277	8220	17508
1278	8227	17503
1279	8234	17498
1280	8239	17488
1281	8246	17483
1282	8253	17477
1283	8257	17467
1284	8264	17462
1285	8272	17458
1286	8279	17453
1287	8284	17443
1288	8291	17438
1289	8298	17434
1290	8303	17423
1291	8310	17419
1292	8315	17409
1293	8323	17405
1294	8327	17395
1295	8335	17390
1296	8342	17385
1297	8346	17373
1298	8354	17371
1299	8361	17366
1300	8366	17355
1301	8374	17353
1302	8382	17349
1303	8386	17338
1304	8393	17333
1305	8400	17328
1306	8404	17317
1307	8413	17315
1308	8418	17305
1309	8425	17300
1310	8432	17295
1311	8436	17285
1312	8444	17280
1313	8448	17270
1314	8456	17265
1315	8463	17262
1316	8471	17257
1317	8478	17252
1318	8485	17247
1319	8489	17237
1320	8498	17234
1321	8502	17224
1322	8510	17219
1323	8517	17215
1324	8525	17210
1325	8532	17206
1326	8537	17196
1327	8545	17192
1328	8552	17188
1329	8556	17177
1330	8563	17172
1331	8570	17167
1332	8575	17156
1333	8582	17151
1334	8586	17140
1335	8593	17136
1336	8601	17131
1337	8605	17121
1338	8612	17115
1339	8616	17104
1340	8623	17099
1341	8631	17095
1342	8638	17090
1343	8642	17079
1344	8649	17074
1345	8657	17071
1346	8662	17061
1347	8669	17055
1348	8676	17049
1349	8680	17039
1350	8688	17037
1351	8693	17026
1352	8700	17020
1353	8704	17011
1354	8709	17000
1355	8717	16996
1356	8724	16992
1357	8731	16987
1358	8736	16977
1359	8743	16973
1360	8748	16963
1361	8756	16959
1362	8763	16954
1363	8770	16949
1364	8777	16944
1365	8782	16934
1366	8790	16930
1367	8794	16921
1368	8801	16915
1369	8809	16910
1370	8813	16900
1371	8821	16896
1372	8825	16885
1373	8832	16880
1374	8839	16875
1375	8844	16865
1376	8852	16861
1377	8856	16851
1378	8862	16845
