iter	F1	Logloss
561	0.7772483522	0.343809525
562	0.7773005999	0.3437626987
563	0.7773301309	0.3437094936
564	0.7774291548	0.3436182514
565	0.7774371687	0.3435740118
566	0.7775484342	0.3435201013
567	0.7775890026	0.3434605469
568	0.7777126035	0.3433842373
569	0.777834946	0.3433137774
570	0.7778220363	0.3432290021
571	0.7779050021	0.3431693889
572	0.7780058083	0.3430696221
573	0.7780076561	0.3430123605
574	0.7780537592	0.3429730299
575	0.7781600929	0.3428775254
576	0.7780771295	0.3428154136
577	0.778121992	0.3427517146
578	0.7783517699	0.342704124
579	0.7783658819	0.3426440699
580	0.7784175447	0.3425702001
581	0.7785416033	0.3424696984
582	0.7785257173	0.3424003261
583	0.7787388424	0.3423433879
584	0.778763313	0.3422990601
585	0.7787380632	0.3422501467
586	0.7788842749	0.3421767473
587	0.7788713548	0.3421268639
588	0.7789978878	0.342046292
589	0.7790758751	0.3419606055
590	0.7791748222	0.3418890873
591	0.7793105355	0.3417725653
592	0.7793264739	0.3417292664
593	0.7794837204	0.3416641563
594	0.779537702	0.3416107749
595	0.7795832389	0.3414824655
596	0.7796218487	0.3413948682
597	0.7797194872	0.3413368424
598	0.7797577252	0.3412703508
599	0.7797811579	0.3412246415
600	0.7798531396	0.3411716716
601	0.7798377688	0.3411002122
602	0.7799567643	0.3410277828
603	0.7799578724	0.3409889813
604	0.7800333919	0.340951826
605	0.7800860153	0.3408919776
606	0.7801024836	0.3408233402
607	0.780122713	0.3407721046
608	0.7801871618	0.3407207808
609	0.7802327188	0.3406718381
610	0.780278825	0.3406308026
611	0.7803125363	0.340578303
612	0.7803958634	0.3404835922
613	0.7805597931	0.3404011096
614	0.7806633101	0.340343319
615	0.7807697621	0.3402828533
616	0.780922594	0.3402173024
617	0.780888911	0.3401389351
618	0.7808908046	0.3400921382
619	0.7810721508	0.3399931357
620	0.7810840531	0.3399386666
621	0.781063323	0.3398882247
622	0.7810951047	0.3398382531
623	0.7812076977	0.3397871645
624	0.7812777996	0.3396933649
625	0.7813100842	0.339638308
626	0.781372939	0.3395822222
627	0.7813007681	0.3395079115
628	0.7813147527	0.3394640247
629	0.7813850183	0.3393898316
630	0.7814464888	0.3393164615
631	0.7815397195	0.3392619631
632	0.7816650828	0.3392022617
633	0.781719438	0.3391500267
634	0.7819034623	0.3390716889
635	0.781904462	0.3390282724
636	0.7819160102	0.3389882951
637	0.7818886851	0.3389279177
638	0.7819064611	0.3388929082
639	0.782004474	0.3388177744
640	0.781971831	0.3387827061
641	0.7820323762	0.3387095124
642	0.7820189222	0.3386661841
643	0.7821640011	0.3386197399
644	0.7822903495	0.3385685631
645	0.7824156649	0.3384951931
646	0.7824459097	0.3384409004
647	0.7825745986	0.3383764371
648	0.7826788091	0.3383384881
649	0.7827585255	0.3382215251
650	0.7828319923	0.3381419233
651	0.7828175999	0.3380617924
652	0.78285121	0.3380172001
653	0.7828281713	0.3379778107
654	0.7827772654	0.3379389505
655	0.7827969579	0.3378945933
656	0.7827638199	0.3378461797
657	0.7829266003	0.337752527
658	0.7829597354	0.3377041428
659	0.7830754448	0.3376394149
660	0.7831992535	0.337547232
661	0.7832899037	0.3374614866
662	0.7832434253	0.3374103098
663	0.7834103418	0.3373499618
664	0.7833815444	0.3372812949
665	0.7835471548	0.3372169785
666	0.7836354804	0.3371777067
667	0.7836450352	0.3371278527
668	0.7836786063	0.3370811146
669	0.7836786063	0.3370345822
670	0.7837390296	0.3369012169
671	0.7837976584	0.3368560955
672	0.7838998488	0.3368083873
673	0.7838591262	0.3367154989
674	0.7839113324	0.336652035
675	0.7840007066	0.3365678769
676	0.7839719139	0.3365288403
677	0.7841119845	0.336437745
678	0.7841435952	0.3363906542
679	0.7841888244	0.3363042033
680	0.7841273521	0.3362693408
681	0.7842314719	0.3362172527
682	0.7842477095	0.3361799504
683	0.7842797459	0.3361484977
684	0.784261564	0.3361223949
685	0.7843271433	0.3360679846
686	0.7843511661	0.3360311232
687	0.7845061173	0.3359260947
688	0.7844697701	0.3358830604
689	0.784483615	0.3358501379
690	0.7845273376	0.3357919651
691	0.7845967916	0.3357457267
692	0.7846922164	0.3357133627
693	0.7847155548	0.3356692995
694	0.7847017211	0.3355944303
695	0.7847235249	0.3355450466
696	0.7847763236	0.3354885199
697	0.7848369475	0.335435697
698	0.7848764717	0.3353619448
699	0.7849601165	0.3352495087
700	0.7850483787	0.3352010069
701	0.785193358	0.3351216991
702	0.7852366766	0.3350509746
703	0.7852732981	0.3349858645
704	0.7852776306	0.3349423304
705	0.785378907	0.3349016477
706	0.7854226891	0.3348597597
707	0.7854691896	0.3347887413
708	0.7855271215	0.3347176052
709	0.7856343047	0.334672719
710	0.7855795431	0.3346090493
711	0.7855101883	0.334559842
712	0.785667005	0.3345112226
713	0.7856000177	0.3344705986
714	0.7856512434	0.3343941127
715	0.7856323361	0.3343561049
716	0.7858049001	0.3343097489
717	0.7859018202	0.3342457264
718	0.7859309675	0.3342050437
719	0.7859077395	0.3341600398
720	0.7859715703	0.3341048653
721	0.7860255265	0.3340589796
722	0.7861941163	0.3339749686
723	0.7863035758	0.3339285538
724	0.7863339308	0.333903568
725	0.7863283684	0.3338649135
726	0.7863957734	0.3338055061
727	0.786464681	0.3337609138
728	0.7864623258	0.3337118534
729	0.786532343	0.333658472
730	0.7865413882	0.3336155846
731	0.7866493157	0.3335652603
732	0.7867295965	0.3335128195
733	0.7866787969	0.3334878043
734	0.7867444373	0.3334266626
735	0.7868142047	0.33336508
736	0.7868268557	0.3333243678
737	0.7869063963	0.3332852136
738	0.7869261009	0.3332422381
739	0.7870083472	0.3331869166
740	0.7870584278	0.3331353282
741	0.7871052399	0.3330896777
742	0.7871807877	0.3330523754
743	0.7872332214	0.3329614565
744	0.7872672434	0.3329141305
745	0.7873030226	0.3328756229
746	0.7873749207	0.3328171268
747	0.7873949765	0.3327593067
748	0.7874470713	0.3327006636
749	0.7875339739	0.3326200329
750	0.7875513411	0.3325874044
751	0.7875894462	0.332544517
752	0.7876766697	0.3324718525
753	0.7877444819	0.3324175304
754	0.7877845764	0.3323637081
755	0.787879122	0.3323062407
756	0.7878985	0.3321851919
757	0.7879546369	0.3321335742
758	0.7880461747	0.3320903928
759	0.7881186809	0.3320472115
760	0.7881620796	0.3319808375
761	0.7881681072	0.3319177263
762	0.7881945019	0.3318857445
763	0.7882215461	0.3318519108
764	0.7882960603	0.3317889466
765	0.7883137644	0.3317594339
766	0.7883445052	0.3317193097
767	0.7883488509	0.3316559633
768	0.7883004057	0.3316114886
769	0.7883926307	0.3315574311
770	0.7883615676	0.3315132503
771	0.788382978	0.3314718327
772	0.7884303717	0.3314424083
773	0.7885238673	0.3313941122
774	0.7885572551	0.3313644232
775	0.7885709246	0.3313125115
776	0.7886828645	0.3312746507
777	0.7887446603	0.3312270895
778	0.7887431092	0.3311926679
779	0.7888118981	0.3311344069
780	0.7889047522	0.3310923426
781	0.7888570972	0.3310330527
782	0.7888884601	0.3309979256
783	0.7890161142	0.3309110045
784	0.7889450007	0.3308283162
785	0.7889650306	0.3307674096
786	0.7891075464	0.3306958621
787	0.7891850178	0.3306591183
788	0.7892500262	0.3306045316
789	0.789355909	0.3305492101
790	0.7894307509	0.3305172283
791	0.7894580206	0.3304542053
792	0.7895995679	0.3303744859
793	0.7896700523	0.3303250729
794	0.7896903467	0.3302499391
795	0.7898147434	0.3302144005
796	0.7898866993	0.3301437348
797	0.7899252272	0.3300869729
798	0.789868089	0.3300589888
799	0.7899211522	0.3300264779
800	0.7899731088	0.3299708037
801	0.7899556966	0.329944936
802	0.790007273	0.3298930243
803	0.7901008754	0.3297754441
804	0.790153385	0.3297229152
805	0.790200043	0.3296616265
806	0.7902585205	0.3296205322
807	0.7903272006	0.3295428705
808	0.7904035257	0.3294959266
809	0.7904739869	0.3294473953
810	0.7905026856	0.3294191467
811	0.7905357389	0.3294038025
812	0.7906174771	0.3293528608
813	0.7905311231	0.3293112962
814	0.7907068971	0.3292368091
815	0.790737895	0.3291969201
816	0.790782466	0.3291626748
817	0.7907489108	0.3291042962
818	0.7908434452	0.3290637899
819	0.7907745358	0.3290059992
820	0.7907991275	0.3289542639
821	0.7907706883	0.3288993245
822	0.7908260216	0.328867813
823	0.7908280732	0.328848912
824	0.7908216658	0.3288050252
825	0.7908754882	0.3287617851
826	0.7909845998	0.3286716598
827	0.7910066316	0.328632535
828	0.7910640126	0.3285825928
829	0.7910529968	0.3285279474
830	0.7911349529	0.3284973178
831	0.7910603941	0.3284603094
832	0.7911108663	0.3284253881
833	0.791071163	0.328378209
834	0.7911893011	0.3283262091
835	0.7912599969	0.3282586593
836	0.791286387	0.3281934317
837	0.7913928986	0.3281339067
838	0.7914764247	0.3280747932
839	0.7914461474	0.3280540403
840	0.7914330716	0.3280105357
841	0.7915188897	0.3279487179
842	0.7916361494	0.3279094755
843	0.7916253662	0.3278799922
844	0.7916896104	0.327839574
845	0.7918024844	0.3277683498
846	0.7918155639	0.3277262267
847	0.7918577698	0.3276637916
848	0.7918995259	0.3276261365
849	0.7918882906	0.3275937432
850	0.7918045514	0.3275523255
851	0.7919036633	0.3275045586
852	0.7919367006	0.3274598193
